City,Latitude,Longitude,"The absolute minimum, °C","The temperature of the coldest month, °C","The average annual temperature, °C","The temperature of the warmest month, °C","The absolute maximum, °C","The average annual precipitation, mm"
Волгоград,48.708048,44.5133035,−22.8,−3.7,10.4,26,48.8,347
Вологда,59.2180665,39.8978053,−47.1,−10.8,3.1,17.5,36.4,565
Воркута,67.4968967,64.0602175,−52.0,−19.7,−5.3,13.1,33.8,531
Воронеж,51.6754966,39.2088823,−36.5,−6.5,6.9,20.5,40.5,587
Выборг,60.7139529,28.7571571,−36.8,−7.2,4.8,18.3,34.6,677
Горно-Алтайск,51.942186,85.9719355,−48.6,−13.7,2.8,18.9,40.3,731
Грозный,43.3168796,45.6814856,−31.5,−3.2,10.4,23.9,41.4,439
Дербент,42.0674251,48.2890907,−17.8,2,14,26,40,377
Диксон,73.50489,80.5809169,−48.1,−26.0,−11.4,4.8,26.9,233
Дудинка,69.4041954,86.2002911,−56.1,−26.8,−9.4,13.8,32.8,522
Евпатория,45.182515,33.3362,−28.3,2.5,12.7,24.3,41.5,421
Екатеринбург,56.8389261,60.6057025,−46.7,−12.6,3,19,38.8,537
Елатьма,54.9662147,41.7517588,−42.9,−8.7,5,19.3,39.3,629
Елец,52.6170992,38.5048668,−37.8,−7.4,6.2,20,41.1,589
Ербогачён,61.2776586,108.0136671,−61.2,−30.1,−6.2,17.5,35.8,345
Иваново,57.0050671,40.9766453,−49.8,−12.1,3.6,18.1,38.7,612
Ижевск,56.8518394,53.2050062,−47.5,−12.4,3,19,37,510
Иркутск,52.2869741,104.3050183,−49.7,−17.9,0.9,18.2,37.2,477
Ича,55.4563239,156.8113856,−36.1,−12.7,−0.2,11.7,28.7,642
Казань,55.8304307,49.0660806,−46.8,−10.4,4.6,20.2,39,558
Калевала,65.2014995,31.1833872,−45.0,−12.2,1.1,15.7,33,564
Калининград,54.7104264,20.4522144,−33.3,−1.5,7.9,18.1,36.5,818
Камышин,50.0946344,45.3939821,−35.0,−7.8,7.6,23.7,41.5,389
Кандалакша,67.1700511,32.4229656,−43.5,−12.2,0.4,14.6,31.6,543
Канин Нос,68.6569444,43.2716668,−32.8,−9.0,−0.5,9,30,436
Кемерово,55.3450231,86.0623044,−48.4,−17.0,1.3,19,38,505
Кингисепп,59.3759603,28.6043387,−40.0,−6.0,5.4,18.1,35.3,743
Киренск,57.7746006,108.1240863,−57.8,−26.6,−3.5,18.3,36.8,397
Киров,58.6035321,49.6667983,−45.2,−11.9,3.1,18.9,36.9,676
Ключи,56.322023,160.8433323,−48.6,−16.7,−0.1,15.6,31.1,628
Койнас,64.765419,47.598946,−52.2,−16.3,−0.3,16.3,36,581
Кострома,57.7774816,40.9698928,−46.4,−9.4,4.2,18.7,37.3,625
Котлас,61.2468493,46.6618008,−47.1,−13.0,2,17.6,35.5,576
Краснодар,45.0392674,38.9872209,−33.7,0.3,11.9,24,40,718
Красноярск,56.0152834,92.8932476,−52.8,−15.5,1.6,18.7,36.4,491
Курган,55.4391529,65.3387951,−47.9,−15.2,2.7,19.8,40.5,406
Курск,51.7091957,36.1562241,−35.3,−6.2,6.5,19.6,38.8,648
Кызыл,51.7150832,94.4574804,−52.2,−28.6,−1.3,20.4,40.7,217
Магадан,59.5611525,150.8301413,−34.6,−16.4,−2.7,12,26,559
Магнитогорск,53.4129429,59.0016233,−46.1,−14.1,2.8,19.1,38.9,353
Малые Кармакулы,72.374378,52.718378,−39.0,−14.6,−4.5,7.1,28.3,333
Махачкала,42.9666308,47.5126285,−26.9,1.2,12.4,24.7,38.7,340
Минеральные Воды,44.211675,43.1238527,−28.3,−2.5,9.7,22.7,40.9,556
Москва,55.755826,37.6172999,−42.1,−6.7,5.8,19.2,38.2,707
Мурманск,68.9585244,33.0826597,−39.4,−10.0,0.6,12.9,32.9,494
Нарьян-Мар,67.6710067,53.1078339,−47.6,−17.0,−3.0,13.5,33.9,504
Находка,42.8222753,132.8834039,−27.0,−9.3,6.8,20.6,37,860
Нерюнгри,56.6614269,124.7058164,−61.0,−30.4,−6.9,16.1,34.8,583
Нижнеудинск,54.9019282,99.024836,−49.7,−20.6,−0.4,17.9,36.4,410
Нижний Новгород,56.2965039,43.936059,−41.4,−8.9,4.8,19.4,38.3,648
Николаевск-на-Амуре,53.1423901,140.7314708,−47.2,−21.8,−1.8,16.5,35.3,660
Новокузнецк,53.7595935,87.1215705,−47.7,−15.0,2.1,18.8,36,447
Новосибирск,55.0083526,82.9357327,−45.0,−16.1,1.8,19.2,37.2,448
Норильск,69.35579,88.1892939,−53.1,−27.2,−9.6,14.3,32.2,341
Няксимволь,62.4499999,60.883333,−51.6,−19.4,−1.2,17.4,36.2,536
Оймякон,63.464138,142.773727,−65.4,−46.4,−15.5,14.9,34.6,212
Олёкминск,60.370182,120.43021,−60.1,−30.7,−5.7,18.4,37.3,326
Омск,54.9884804,73.3242361,−45.5,−16.3,2.1,19.6,40.4,415
Онега,63.917408,38.1141079,−42.5,−11.4,2.2,16.9,35.8,617
Оренбург,51.7666482,55.1004538,−43.2,−11.8,5.3,22.3,41.6,364
Орёл,52.9668468,36.0624898,−37.8,−6.7,6.2,19.4,39.5,601
Охотск,59.35846,143.2034909,−45.7,−20.7,−3.8,13.5,32.1,500
Певек,69.692947,170.399612,−50.0,−27.5,−9.5,8.7,29.2,221
Пенза,53.2272903,45,−45.0,−9.3,5.2,19.9,41,521
Пермь,58.0296813,56.2667916,−47.1,−12.8,2.7,18.7,37.2,657
Петрозаводск,61.7781617,34.3640395,−41.6,−9.3,3.1,17,33.9,611
Петропавловск-Камчатский,53.0409109,158.677726,−31.7,−7.7,1.8,12.5,30,987
Печора,65.1383492,57.1903905,−56.0,−18.4,−1.9,16.1,34.9,623
Псков,57.8166994,28.3344735,−40.6,−5.7,5.9,18.3,35.6,702
Ростов-на-Дону,47.2357137,39.701505,−31.9,−3.1,9.9,23.3,40.1,643
Рыбинск,58.057486,38.8116968,−42.0,−8.8,4.4,18.8,37.2,660
Рязань,54.6095418,39.7125857,−40.9,−7.9,5.4,19.2,39.5,575
Салехард,66.550073,66.6028111,−53.7,−23.2,−5.7,14.8,32.9,450
Самара,53.2415041,50.2212463,−43.0,−10.1,5.6,21.4,40.4,557
Санкт-Петербург,59.9342802,30.3350986,−35.9,−5.8,5.8,18.8,37.1,662
Саранск,54.2000477,45.1745115,−49.0,−11.8,4.3,19.3,37,510
Саратов,51.5923654,45.9608031,−37.3,−8.1,6.9,22.4,40.9,476
Севастополь,53.4555433,35.1871219,−22.0,2.8,12.1,22.4,38.3,379
Северо-Курильск,50.66808,156.1138803,−21.0,−4.9,2.8,11.5,26.4,1842
Симушир,46.97,152.03,−16.1,−4.4,3.3,11.1,28.9,1570
Симферополь,44.952117,34.102417,−30.3,1.8,10.8,22.3,39.5,515
Смоленск,54.7903112,32.0503663,−37.9,−6.4,5.4,17.9,37.2,739
Сочи,43.60280789,39.7341543,−13.4,6,14.2,23.6,39.4,1684
Ставрополь,45.0454764,41.9683431,−27.8,−2.9,9.3,22,39.7,556
Сургут,61.25595029,73.38454709,−55.2,−20.0,−1.7,18.2,34.7,580
Сыктывкар,61.6478508,50.8339029,−46.6,−14.2,1.3,17.5,35.3,621
Тамбов,52.723598,41.4423062,−38.0,−7.8,6.1,20.4,41.1,518
Тверь,56.8587214,35.9175965,−44.0,−7.6,5.1,18.8,38.8,653
Тикси,71.6374819,128.8644717,−50.0,−30.2,−12.6,7.7,34.3,322
Тобольск,58.200024,68.26352279,−51.8,−17.1,0.9,18.7,37.2,476
Томск,56.5010397,84.9924506,−55.0,−17.1,0.9,18.7,35.9,568
Тула,54.204836,37.6184915,−36.1,−7.3,5.7,19.4,39.2,614
Тура,64.2738514,100.2187928,−60.0,−34.9,−8.4,16.9,38,369
Тюмень,57.1612975,65.5250172,−46.1,−14.9,2.2,18.8,38,478
Улан-Удэ,51.8238785,107.607338,−54.4,−23.4,−0.1,19.8,40,265
Ульяновск,54.3181598,48.3837915,−40.0,−10.3,5,20.2,39.3,470
Уфа,54.7387621,55.9720554,−48.5,−12.6,3.8,19.6,38.6,589
Ухта,63.5673209,53.7471594,−49.0,−16.5,−0.3,16.5,34,553
Хабаровск,48.5157837,135.1011706,−41.4,−19.9,2.4,21.3,35.7,684
Ханты-Мансийск,61.00909189,69.03745959,−49.0,−18.9,−0.8,18.4,34.5,530
Хатанга,71.964027,102.4406129,−59.0,−31.7,−12.5,12.4,36.7,280
Холмск,47.0657403,142.0584355,−27.0,−7.6,5.1,18.7,32.3,823
Чара,56.913055,118.250862,−56.2,−32.4,−6.9,16.5,35,369
Чебоксары,56.11676629,47.262782,−44.3,−12.9,3.5,18.8,39.9,499
Челябинск,55.1644419,61.4368432,−48.7,−14.1,3.2,19.3,39.2,430
Череповец,59.132333,37.9091811,−45.4,−10.2,3.3,17.6,36.2,647
Чита,52.0515032,113.4711906,−49.6,−25.1,−1.4,18.7,40.6,350
Чокурдах,70.622169,147.916168,−54.4,−33.9,−13.4,10.6,31.6,203
Экимчан,53.0748279,132.9367253,−53.4,−30.0,−4.7,17.5,34.8,694
Элиста,46.3154883,44.2794011,−31.4,−4.1,9.8,24.9,44,349
Южно-Курильск,44.0345224,145.8586038,−20.3,−5.3,5.1,15.9,30.5,1251
Южно-Сахалинск,46.9641127,142.7347555,−36.2,−12.2,2.8,17.3,37.1,864
Южно-Сухокумск,44.6611202,45.6473241,−23.2,0.2,14.8,28.6,45.2,247
Якутск,62.0354523,129.6754745,−64.4,−38.6,−8.8,19.5,38.4,237
Ялта,44.480988,34.151452,−12.3,4,13.2,24.1,39.1,612
Яшкуль,46.17405369,45.3471492,−36.1,−3.3,14.2,30.6,44.2,270
